案例编号,案例名称,来源类型,构造方式,核心控制变量,匿名化,说明
criminal_001a,银行卡出借与主观明知（弱证据）,合成对照案例,原有教学案例重构+构成要件驱动的最小变量改写,B案增加明确违法用途聊天和报酬记录，主观明知争点应明显向公诉方移动。,是,不对应单一真实案件；用于可控评测，避免裁判结论泄漏。
criminal_001b,银行卡出借与主观明知（强证据）,合成对照案例,原有教学案例重构+构成要件驱动的最小变量改写,相较A案，明确聊天和报酬记录应使主观明知争点由开放转为基本关闭。,是,不对应单一真实案件；用于可控评测，避免裁判结论泄漏。
criminal_002a,拿走手机与非法占有目的（误拿并及时返还）,合成对照案例,原有教学案例重构+构成要件驱动的最小变量改写,B案加入关机、恢复出厂设置和出售行为，非法占有目的应明显向公诉方移动。,是,不对应单一真实案件；用于可控评测，避免裁判结论泄漏。
criminal_002b,拿走手机与非法占有目的（关机并出售）,合成对照案例,原有教学案例重构+构成要件驱动的最小变量改写,相较A案，处分和隐匿行为使非法占有目的争点由开放转为基本关闭。,是,不对应单一真实案件；用于可控评测，避免裁判结论泄漏。
criminal_003a,推搡受伤与因果关系（关键过程缺失）,合成对照案例,原有教学案例重构+构成要件驱动的最小变量改写,B案补入完整监控和排除旧伤的医学因果意见，因果关系应显著向公诉方移动。,是,不对应单一真实案件；用于可控评测，避免裁判结论泄漏。
criminal_003b,推搡受伤与因果关系（完整视频和医学意见）,合成对照案例,原有教学案例重构+构成要件驱动的最小变量改写,相较A案，完整视频和补充鉴定使因果关系争点由开放转为关闭。,是,不对应单一真实案件；用于可控评测，避免裁判结论泄漏。
criminal_004a,路口事故与过失判断（只有责任认定书）,合成对照案例,原有教学案例重构+构成要件驱动的最小变量改写,B案加入超速、迟延制动和可避免性鉴定，过失争点应明显向公诉方移动。,是,不对应单一真实案件；用于可控评测，避免裁判结论泄漏。
criminal_004b,路口事故与过失判断（超速和可避免性鉴定）,合成对照案例,原有教学案例重构+构成要件驱动的最小变量改写,相较A案，超速数据、完整视频和可避免性鉴定使过失和因果争点基本关闭。,是,不对应单一真实案件；用于可控评测，避免裁判结论泄漏。
criminal_005a,投资失败与诈骗故意（项目真实）,合成对照案例,原有教学案例重构+构成要件驱动的最小变量改写,B案改为项目不存在、合同伪造且资金迅速用于个人消费，非法占有目的应明显向公诉方移动。,是,不对应单一真实案件；用于可控评测，避免裁判结论泄漏。
criminal_005b,虚构项目与诈骗故意（项目不存在）,合成对照案例,原有教学案例重构+构成要件驱动的最小变量改写,相较A案，项目虚构和迅速个人消费使诈骗故意争点由开放转为关闭。,是,不对应单一真实案件；用于可控评测，避免裁判结论泄漏。
criminal_006a,关键供述的可采性（程序存疑）,合成对照案例,原有教学案例重构+构成要件驱动的最小变量改写,B案补入完整同步录音录像、权利告知和独立物证印证，供述可采性应明显增强。,是,不对应单一真实案件；用于可控评测，避免裁判结论泄漏。
criminal_006b,关键供述的可采性（程序完整并有印证）,合成对照案例,原有教学案例重构+构成要件驱动的最小变量改写,相较A案，完整程序记录和独立物证印证使供述可采性和真实性争点基本关闭。,是,不对应单一真实案件；用于可控评测，避免裁判结论泄漏。
